iter	Passed	Remaining
0	173	173774
1	188	93918
2	199	66392
3	206	51299
4	212	42271
5	216	35902
6	220	31238
7	223	27747
8	227	25082
9	230	22856
10	233	21010
11	236	19465
12	239	18157
13	242	17076
14	244	16087
15	247	15219
16	249	14442
17	252	13749
18	254	13133
19	256	12583
20	260	12145
21	262	11687
22	265	11264
23	267	10877
24	269	10525
25	272	10196
26	275	9936
27	278	9652
28	280	9389
29	282	9143
30	285	8912
31	287	8696
32	290	8504
33	292	8314
34	295	8135
35	297	7967
36	299	7807
37	302	7652
38	304	7506
39	307	7389
40	310	7256
41	312	7129
42	315	7010
43	317	6896
44	319	6784
45	323	6713
46	326	6618
47	328	6520
48	331	6425
49	333	6335
50	335	6245
51	338	6167
52	341	6095
53	343	6015
54	345	5939
55	347	5865
56	350	5794
57	352	5730
58	356	5692
59	359	5629
60	361	5567
61	364	5507
62	366	5450
63	368	5396
64	372	5356
65	374	5302
66	376	5249
67	379	5199
68	381	5151
69	384	5103
70	386	5057
71	389	5017
72	391	4973
73	394	4931
74	396	4891
75	399	4851
76	401	4809
77	404	4782
78	407	4745
79	409	4706
80	411	4669
81	413	4634
82	416	4600
83	418	4566
84	421	4539
85	424	4507
86	426	4476
87	429	4446
88	431	4417
89	433	4387
90	437	4367
91	439	4338
92	442	4310
93	444	4282
94	446	4253
95	448	4225
96	451	4202
97	453	4177
98	456	4155
99	458	4130
100	461	4105
101	463	4082
102	466	4058
103	469	4043
104	471	4021
105	474	3999
106	476	3975
107	478	3952
108	480	3931
109	483	3915
110	486	3895
111	488	3874
112	491	3854
113	493	3837
114	496	3818
115	498	3798
116	501	3787
117	504	3768
118	506	3750
119	508	3732
120	511	3713
121	513	3695
122	516	3684
123	519	3667
124	521	3651
125	524	3635
126	526	3619
127	528	3603
128	531	3587
129	534	3578
130	537	3562
131	539	3546
132	541	3530
133	543	3515
134	546	3500
135	549	3492
136	552	3477
137	554	3463
138	556	3448
139	558	3432
140	561	3418
141	563	3405
142	567	3398
143	569	3384
144	571	3370
145	574	3357
146	576	3344
147	578	3331
148	582	3324
149	584	3312
150	586	3299
151	589	3286
152	591	3275
153	593	3262
154	596	3253
155	599	3244
156	601	3232
157	604	3220
158	606	3208
159	609	3198
160	611	3186
161	615	3181
162	617	3170
163	619	3158
164	622	3148
165	624	3137
166	626	3126
167	630	3123
168	633	3115
169	636	3106
170	638	3095
171	640	3085
172	643	3074
173	646	3069
174	649	3059
175	651	3050
176	653	3040
177	656	3030
178	658	3020
179	661	3012
180	664	3005
181	666	2996
182	669	2987
183	671	2978
184	673	2969
185	676	2960
186	679	2954
187	682	2945
188	684	2936
189	686	2927
190	689	2919
191	691	2910
192	694	2905
193	697	2896
194	699	2887
195	701	2878
196	704	2869
197	707	2864
198	710	2858
199	712	2850
200	715	2842
201	717	2834
202	719	2826
203	722	2818
204	724	2811
205	728	2807
206	730	2798
207	732	2790
208	735	2782
209	737	2774
210	740	2767
211	743	2762
212	745	2754
213	747	2746
214	750	2739
215	752	2731
216	755	2724
217	757	2716
218	760	2712
219	762	2704
220	765	2697
221	767	2690
222	770	2682
223	772	2675
224	775	2671
225	777	2664
226	780	2656
227	782	2650
228	785	2643
229	787	2636
230	790	2630
231	793	2625
232	795	2618
233	797	2611
234	800	2605
235	802	2599
236	805	2592
237	808	2589
238	811	2583
239	813	2577
240	816	2570
241	818	2564
242	820	2557
243	824	2553
244	826	2547
245	828	2540
246	831	2534
247	833	2527
248	835	2521
249	838	2514
250	841	2511
251	844	2505
252	846	2499
253	848	2493
254	851	2486
255	853	2480
256	856	2477
257	859	2471
258	861	2464
259	863	2458
260	866	2453
261	868	2447
262	872	2444
263	874	2438
264	876	2432
265	879	2426
266	881	2420
267	884	2414
268	886	2409
269	889	2406
270	892	2401
271	894	2394
