iter	RMSE
325	4.872906318
326	4.863999845
327	4.858627529
328	4.855412597
329	4.853013965
330	4.846679496
331	4.840354705
332	4.837555917
333	4.834278168
334	4.825978868
335	4.820039504
336	4.816060619
337	4.810236636
338	4.807003931
339	4.801648779
340	4.7956589
341	4.791418906
342	4.785321952
343	4.781958308
344	4.774654242
345	4.769278342
346	4.760230168
347	4.755295947
348	4.749025498
349	4.744389618
350	4.739142707
351	4.733263025
352	4.731474449
353	4.724541457
354	4.721578083
355	4.712200889
356	4.708541942
357	4.704328161
358	4.701960201
359	4.697489543
360	4.692555913
361	4.683992036
362	4.67941563
363	4.676376056
364	4.669279972
365	4.664245268
366	4.656627949
367	4.651786619
368	4.650134965
369	4.644003075
370	4.637352595
371	4.632407286
372	4.62858655
373	4.623818643
374	4.61859902
375	4.6129368
376	4.610116021
377	4.601459575
378	4.595781396
379	4.589116995
380	4.582557194
381	4.577299783
382	4.571517267
383	4.566802031
384	4.561355
385	4.559706029
386	4.555343149
387	4.550725226
388	4.54735674
389	4.544643595
390	4.540588371
391	4.537921939
392	4.531055187
393	4.529563787
394	4.521806401
395	4.517396678
396	4.515498334
397	4.511696576
398	4.509652714
399	4.508234775
400	4.50202751
401	4.500221869
402	4.494772827
403	4.491224274
404	4.487597452
405	4.482643254
406	4.478176793
407	4.473095553
408	4.466212655
409	4.461683655
410	4.456954829
411	4.452790967
412	4.446965637
413	4.443032963
414	4.439502783
415	4.435619566
416	4.432098581
417	4.424829241
418	4.421210451
419	4.415057334
420	4.410424172
421	4.405659625
422	4.402623122
423	4.397776328
424	4.394252953
425	4.391013917
426	4.385035466
427	4.379661771
428	4.375961776
429	4.371563902
430	4.366709027
431	4.362363539
432	4.359648334
433	4.355484859
434	4.352898195
435	4.348801185
436	4.344805705
437	4.337765531
438	4.333637872
439	4.329891736
440	4.326530111
441	4.322836192
442	4.318379181
443	4.314208806
444	4.311554386
445	4.307669944
446	4.305164883
447	4.30233274
448	4.2993492
449	4.294880141
450	4.291058712
451	4.288608016
452	4.284127454
453	4.28100615
454	4.275233506
455	4.270752842
456	4.266470006
457	4.26254379
458	4.258410236
459	4.254729857
460	4.250324015
461	4.246291466
462	4.243834971
463	4.239492453
464	4.236786536
465	4.234341266
466	4.230795151
467	4.226563886
468	4.222662925
469	4.21979427
470	4.214036071
471	4.211060218
472	4.209281569
473	4.204131652
474	4.200185242
475	4.198898589
476	4.193878767
477	4.190216006
478	4.185708831
479	4.180608218
480	4.175682248
481	4.170700102
482	4.166819587
483	4.162010988
484	4.158058284
485	4.154416578
486	4.150950529
487	4.147980236
488	4.144659236
489	4.140492982
490	4.135065032
491	4.130561792
492	4.127084082
493	4.123538951
494	4.120479911
495	4.118338036
496	4.114264497
497	4.108951166
498	4.105400223
499	4.103819164
500	4.099598498
501	4.096031023
502	4.092295786
503	4.088813032
504	4.08551954
505	4.083301209
506	4.078939697
507	4.07636072
508	4.069869881
509	4.063865142
510	4.060490154
511	4.057485934
512	4.053320219
513	4.049406025
514	4.045252525
515	4.041765399
516	4.038992834
517	4.03396531
518	4.030609517
519	4.027259179
520	4.025055445
521	4.02350682
522	4.020930346
523	4.01894454
524	4.015360712
525	4.010434239
526	4.007838317
527	4.003809387
528	3.999690413
529	3.995161577
530	3.992412405
531	3.989173266
532	3.985878401
533	3.983644913
534	3.980590478
535	3.975616053
536	3.973312181
537	3.96922927
538	3.966137994
539	3.962105154
540	3.959627864
541	3.95822262
542	3.954030924
543	3.949997882
544	3.946157673
545	3.942073059
546	3.93873565
547	3.935669682
548	3.931959343
549	3.928184349
550	3.92626003
551	3.924493663
552	3.918649098
553	3.915407356
554	3.910176172
555	3.906935826
556	3.904864716
557	3.90103556
558	3.897115555
559	3.893559217
560	3.891620543
561	3.889323074
562	3.887114851
563	3.884258792
564	3.881362623
565	3.879823035
566	3.877168677
567	3.873431509
568	3.870632992
569	3.864756077
570	3.862394338
571	3.85988884
572	3.85762987
573	3.855214461
574	3.853296529
575	3.851125866
576	3.847190267
577	3.844033645
578	3.841079063
579	3.83688017
580	3.834511357
581	3.831931027
582	3.828210793
583	3.823981117
584	3.820777612
585	3.817016048
586	3.813702243
587	3.811377646
588	3.809724235
589	3.807014373
590	3.802937627
591	3.800621739
592	3.797549727
593	3.796100415
594	3.793435393
595	3.791468195
596	3.789290512
597	3.78690365
598	3.784183966
599	3.782079563
600	3.778568292
601	3.773018268
602	3.769962053
603	3.76832404
604	3.764923039
605	3.762031838
606	3.758420849
607	3.756122515
608	3.753654301
609	3.749739079
610	3.747407672
611	3.745825903
612	3.74253049
613	3.740122848
614	3.738263442
615	3.732902899
616	3.728907901
617	3.726393974
618	3.724069762
619	3.718198461
620	3.714700792
621	3.713023024
622	3.709083207
623	3.706962213
624	3.705317083
625	3.701893865
626	3.699324253
627	3.695347152
628	3.691923294
629	3.689300498
630	3.686471015
631	3.682581365
632	3.678129821
633	3.67708638
634	3.671983275
635	3.670487564
636	3.667529237
637	3.663933007
638	3.660648288
639	3.656919606
640	3.654139244
641	3.652320471
642	3.649632693
643	3.645451526
644	3.642125495
645	3.637272114
646	3.633874176
647	3.630755776
648	3.628322273
649	3.624750057
650	3.621181282
651	3.618135
652	3.613984283
653	3.612036406
654	3.609945692
655	3.607533903
656	3.604508912
657	3.603017747
658	3.598069901
659	3.596224796
660	3.594498337
661	3.592030948
662	3.590126907
663	3.586117665
664	3.582542612
665	3.580583818
666	3.57795078
667	3.576528331
668	3.573025353
669	3.569992015
670	3.567406082
671	3.56506961
672	3.563381558
673	3.56121574
674	3.559411411
675	3.556692194
676	3.55356925
677	3.55218665
678	3.547405111
679	3.543407505
680	3.540334756
681	3.53528451
682	3.533691601
683	3.531549261
684	3.529149113
685	3.52590735
686	3.524134191
687	3.521283053
688	3.518775824
689	3.517013012
690	3.514328411
691	3.513009132
692	3.511309072
693	3.509464826
694	3.507542572
695	3.505998328
696	3.501887619
697	3.500624841
698	3.499485785
699	3.498091577
700	3.493313514
701	3.488358891
702	3.486240321
703	3.483637021
704	3.48045677
705	3.477590123
706	3.474527364
707	3.470682453
708	3.46855064
709	3.467390415
710	3.46425466
711	3.4623884
712	3.460695199
713	3.457505139
714	3.456078739
715	3.452261184
716	3.45079671
717	3.449598015
718	3.447857345
719	3.445998016
720	3.442825265
721	3.441814678
722	3.440437623
723	3.438719765
724	3.436449482
725	3.433986903
726	3.432786497
727	3.431139574
728	3.427776489
729	3.426008758
730	3.423249215
731	3.419987743
732	3.416932949
733	3.413896444
734	3.412231296
735	3.408978198
736	3.404987726
737	3.402499015
738	3.398719872
739	3.397338758
740	3.394000222
741	3.392295335
742	3.388337314
743	3.384527404
744	3.381729782
745	3.379279537
746	3.377478123
747	3.375072983
748	3.37127019
749	3.366525848
750	3.364630274
751	3.362900656
752	3.359776402
753	3.356457537
754	3.353848524
755	3.352064956
756	3.349289154
757	3.346359488
758	3.343651648
759	3.342336775
760	3.338243145
761	3.336509154
762	3.333312745
763	3.331469582
764	3.329369863
765	3.326709105
766	3.322990413
767	3.320464766
768	3.318953875
769	3.316775103
770	3.314949258
771	3.312643606
772	3.311565396
773	3.309934891
774	3.308114518
775	3.305005468
776	3.303043297
777	3.300801215
778	3.299054627
779	3.296840709
780	3.294549964
781	3.292482084
782	3.291041102
783	3.289175881
784	3.286372825
785	3.283442121
786	3.280003957
787	3.278597002
788	3.276247766
789	3.273784228
790	3.272250628
791	3.268221857
792	3.265414984
793	3.261891148
794	3.258940283
795	3.257319553
796	3.253169507
797	3.250984263
798	3.249596361
799	3.246680365
800	3.243921084
801	3.242692921
802	3.240582707
803	3.238846353
804	3.236777991
805	3.23523604
806	3.23297095
807	3.231172688
808	3.229297462
809	3.227373821
810	3.225289325
811	3.223203537
812	3.219872249
813	3.218257565
814	3.215624762
815	3.213771708
816	3.211567015
817	3.208970331
818	3.207440652
819	3.205023274
820	3.203133028
821	3.200360425
822	3.197769698
823	3.195942559
824	3.193682263
825	3.191663886
826	3.190561298
827	3.18897999
828	3.18751552
829	3.186073947
830	3.184255674
831	3.182330686
832	3.18056318
833	3.177847708
834	3.176127309
835	3.173080091
836	3.171063555
837	3.169216316
838	3.16664317
839	3.165507275
840	3.163138206
841	3.16130732
842	3.159562182
843	3.156948105
844	3.155424387
845	3.15339697
846	3.15110962
847	3.148526375
848	3.146738698
849	3.144260119
850	3.142203519
851	3.139628364
852	3.137700973
853	3.136568034
854	3.134761341
855	3.132328969
856	3.129983389
857	3.128933101
858	3.125991508
859	3.123615259
860	3.12243913
861	3.118526651
862	3.11747701
863	3.115565801
864	3.113833346
865	3.112340479
866	3.110985554
867	3.106940746
868	3.104771127
869	3.102845085
870	3.101042327
871	3.097946724
872	3.096173807
873	3.095027206
874	3.093140965
875	3.091408709
876	3.088193774
877	3.085718372
878	3.084359914
879	3.082764296
880	3.079525154
881	3.077869121
882	3.075973777
883	3.073790711
884	3.072740577
885	3.07036656
886	3.068117722
887	3.067308201
888	3.065805527
889	3.064144141
890	3.063145223
891	3.060871301
892	3.059723988
893	3.056729868
894	3.05373492
895	3.051344805
896	3.049634762
897	3.047989334
898	3.046441751
899	3.04451626
900	3.041710377
901	3.040025144
902	3.03794998
903	3.036326572
904	3.033715236
905	3.032166807
906	3.030124801
907	3.027716707
908	3.026432698
909	3.024354596
910	3.022826421
911	3.018911104
912	3.017164938
913	3.014963527
914	3.013483996
915	3.012209054
916	3.009362951
917	3.006311113
918	3.003490068
919	3.001271727
920	2.999492133
921	2.997781997
922	2.995478087
923	2.994005333
924	2.991845536
925	2.99002609
926	2.988738182
927	2.987351879
928	2.985140729
929	2.982727943
930	2.981568648
931	2.977879159
932	2.977061213
933	2.975916737
934	2.974231863
935	2.9733216
936	2.972284122
937	2.971270588
938	2.969668422
939	2.967898543
940	2.966067936
941	2.964259232
942	2.962628898
943	2.961426674
944	2.959371073
945	2.957025607
946	2.956069907
947	2.953981109
948	2.952986806
949	2.949766413
950	2.947324237
951	2.944346273
952	2.942911589
953	2.940498592
954	2.938246947
955	2.936845105
956	2.935984657
957	2.935163754
958	2.933098074
959	2.932395937
960	2.931448191
961	2.929092766
962	2.927889167
963	2.924651878
964	2.922891623
965	2.919826105
966	2.918071743
967	2.916145903
968	2.913292616
969	2.910895047
970	2.90941573
971	2.908377985
972	2.907713534
973	2.905357
974	2.903360446
975	2.902325023
976	2.899749809
977	2.897466878
978	2.895529176
979	2.894614603
980	2.892565361
981	2.89121304
982	2.888064546
983	2.886480994
984	2.885487403
985	2.883424856
986	2.881608729
987	2.880565907
988	2.879524412
989	2.876120135
990	2.874643553
991	2.872805194
992	2.871339094
993	2.868007153
994	2.866693581
995	2.865256313
996	2.86382096
997	2.862426003
998	2.860375781
999	2.857758962
